prod_inchi,prod_mults,reac_inchi,reac_mults
InChI=1S/2H,2_2,InChI=1S/H2/h1H,1
InChI=1S/HO.H/h1H;,2_2,InChI=1S/O.H2/h;1H,3_1
InChI=1S/H2O.H/h1H2;,1_2,InChI=1S/HO.H2/h2*1H,2_1
InChI=1S/O2/c1-2,3,InChI=1S/2O,3_3
InChI=1S/HO.O/h1H;,2_3,InChI=1S/O2.H/c1-2;,3_2
InChI=1S/H2O/h1H2,1,InChI=1S/HO.H/h1H;,2_2
InChI=1S/2HO/h2*1H,2_2,InChI=1S/H2O.O/h1H2;,1_3
InChI=1S/HO/h1H,2,InChI=1S/O.H,3_2
InChI=1S/2HO/h2*1H,2_2,InChI=1S/H2O2/c1-2/h1-2H,1
InChI=1S/H2O.HO/h1H2;1H,1_2,InChI=1S/H2O2.H/c1-2;/h1-2H;,1_2
InChI=1S/HO2.H2/c1-2;/h1H;1H,2_1,InChI=1S/H2O2.H/c1-2;/h1-2H;,1_2
InChI=1S/HO2.HO/c1-2;/h1H;1H,2_2,InChI=1S/H2O2.O/c1-2;/h1-2H;,1_3
InChI=1S/HO2.H2O/c1-2;/h1H;1H2,2_1,InChI=1S/H2O2.HO/c1-2;/h1-2H;1H,1_2
InChI=1S/HO2.H2O/c1-2;/h1H;1H2,2_1,InChI=1S/H2O2.HO/c1-2;/h1-2H;1H,1_2
InChI=1S/2HO/h2*1H,2_2,InChI=1S/HO2.H/c1-2;/h1H;,2_2
InChI=1S/O2.H2/c1-2;/h;1H,3_1,InChI=1S/HO2.H/c1-2;/h1H;,2_2
InChI=1S/O2.HO/c1-2;/h;1H,3_2,InChI=1S/HO2.O/c1-2;/h1H;,2_3
InChI=1S/O2.H2O/c1-2;/h;1H2,3_1,InChI=1S/HO2.HO/c1-2;/h1H;1H,2_2
InChI=1S/O2.H2O/c1-2;/h;1H2,3_1,InChI=1S/HO2.HO/c1-2;/h1H;1H,2_2
InChI=1S/H2O2.O2/c2*1-2/h1-2H;,1_3,InChI=1S/2HO2/c2*1-2/h2*1H,2_2
InChI=1S/H2O2.O2/c2*1-2/h1-2H;,1_3,InChI=1S/2HO2/c2*1-2/h2*1H,2_2
InChI=1S/HO2/c1-2/h1H,2,InChI=1S/O2.H/c1-2;,3_2
InChI=1S/CO2/c2-1-3,1,InChI=1S/CO.O/c1-2;,1_3
InChI=1S/CO2.H/c2-1-3;,1_2,InChI=1S/CO.HO/c1-2;/h;1H,1_2
InChI=1S/CO2.H/c2-1-3;,1_2,InChI=1S/CO.HO/c1-2;/h;1H,1_2
InChI=1S/CO2.HO/c2-1-3;/h;1H,1_2,InChI=1S/CO.HO2/c2*1-2/h;1H,1_2
InChI=1S/CO2.O/c2-1-3;,1_3,InChI=1S/CO.O2/c2*1-2,1_3
InChI=1S/CHO2/c2-1-3/h1H,2,InChI=1S/CO2.H/c2-1-3;,1_2
InChI=1S/CO.HO/c1-2;/h;1H,1_2,"InChI=1S/CHO2/c2-1-3/h(H,2,3)",2
InChI=1S/CO2.H/c2-1-3;,1_2,"InChI=1S/CHO2/c2-1-3/h(H,2,3)",2
InChI=1S/CH4/h1H4,1,InChI=1S/CH3.H/h1H3;,2_2
InChI=1S/CH3.H2/h1H3;1H,2_1,InChI=1S/CH4.H/h1H4;,1_2
InChI=1S/CH3.HO/h1H3;1H,2_2,InChI=1S/CH4.O/h1H4;,1_3
InChI=1S/CH3.H2O/h1H3;1H2,2_1,InChI=1S/CH4.HO/h1H4;1H,1_2
InChI=1S/CH3.H2O2/c;1-2/h1H3;1-2H,2_1,InChI=1S/CH4.HO2/c;1-2/h1H4;1H,1_2
"InChI=1S/CH4O2.CH3/c1-3-2;/h2H,1H3;1H3",1_2,InChI=1S/CH3O2.CH4/c1-3-2;/h1H3;1H4,2_1
InChI=1S/CH4.O2/c;1-2/h1H4;,1_3,InChI=1S/CH3.HO2/c;1-2/h1H3;1H,2_2
InChI=1S/2CH3/h2*1H3,2_2,InChI=1S/CH4.CH2/h1H4;1H2,1_3
InChI=1S/CH2.N2/c;1-2/h1H2;,3_1,InChI=1S/CH2.N2/c;1-2/h1H2;,1_1
InChI=1S/CH2.Ar/h1H2;,3_1,InChI=1S/CH2.Ar/h1H2;,1_1
InChI=1S/CH2.H2O/h2*1H2,3_1,InChI=1S/CH2.H2O/h2*1H2,1_1
InChI=1S/CO.CH2/c1-2;/h;1H2,1_3,InChI=1S/CO.CH2/c1-2;/h;1H2,1_1
InChI=1S/CO2.CH2/c2-1-3;/h;1H2,1_3,InChI=1S/CO2.CH2/c2-1-3;/h;1H2,1_1
InChI=1S/CO.H2O/c1-2;/h;1H2,1_1,InChI=1S/CH2.O2/c;1-2/h1H2;,1_3
InChI=1S/CO.H2/c1-2;/h;1H,1_1,InChI=1S/CH2.O/h1H2;,1_3
InChI=1S/CHO.H/c1-2;/h1H;,2_2,InChI=1S/CH2.O/h1H2;,1_3
InChI=1S/CH3.H/h1H3;,2_2,InChI=1S/CH2.H2/h1H2;1H,1_1
InChI=1S/CH2O.H/c1-2;/h1H2;,1_2,InChI=1S/CH2.HO/h1H2;1H,1_2
InChI=1S/CH2O.CO/c2*1-2/h1H2;,1_1,InChI=1S/CO2.CH2/c2-1-3;/h;1H2,1_1
InChI=1S/CH3/h1H3,2,InChI=1S/CH2.H/h1H2;,3_2
InChI=1S/CHO.HO/c1-2;/h1H;1H,2_2,InChI=1S/CH2.O2/c;1-2/h1H2;,3_3
InChI=1S/CH3O2/c1-3-2/h1H3,2,InChI=1S/CH3.O2/c;1-2/h1H3;,2_3
