,name,inchi,mult
0,AR,InChI=1S/Ar,1
1,N2,InChI=1S/N2/c1-2,1
2,HE,InChI=1S/He,1
3,H2,InChI=1S/H2/h1H,1
4,H,InChI=1S/H,2
5,O2,InChI=1S/O2/c1-2,3
6,O,InChI=1S/O,3
7,H2O,InChI=1S/H2O/h1H2,1
8,OH,InChI=1S/HO/h1H,2
9,H2O2,InChI=1S/H2O2/c1-2/h1-2H,1
10,HO2,InChI=1S/HO2/c1-2/h1H,2
11,CO,InChI=1S/CO/c1-2,1
12,CO2,InChI=1S/CO2/c2-1-3,1
13,HOCO,"InChI=1S/CHO2/c2-1-3/h(H,2,3)",2
14,CH4,InChI=1S/CH4/h1H4,1
15,CH3,InChI=1S/CH3/h1H3,2
16,CH2,InChI=1S/CH2/h1H2,3
17,CH2(S),InChI=1S/CH2/h1H2,1
18,C,InChI=1S/C,3
19,CH,InChI=1S/CH/h1H,2
20,CH3O2H,"InChI=1S/CH4O2/c1-3-2/h2H,1H3",1
21,CH3O2,InChI=1S/CH3O2/c1-3-2/h1H3,2
22,CH2O2H,"InChI=1S/CH3O2/c1-3-2/h2H,1H2",2
23,CH3OH,"InChI=1S/CH4O/c1-2/h2H,1H3",1
24,CH3O,InChI=1S/CH3O/c1-2/h1H3,2
25,CH2OH,"InChI=1S/CH3O/c1-2/h2H,1H2",2
26,CH2O,InChI=1S/CH2O/c1-2/h1H2,1
27,HCO,InChI=1S/CHO/c1-2/h1H,2
28,HCOH,InChI=1S/CH2O/c1-2/h1-2H,1
29,HO2CHO,"InChI=1S/CH2O3/c2-1-4-3/h1,3H",1
30,HOCH2O2H,"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2",1
31,HOCH2O2,"InChI=1S/CH3O3/c2-1-4-3/h2H,1H2",2
32,OCH2O2H,"InChI=1S/CH3O3/c2-1-4-3/h3H,1H2",2
33,HOCH2O,"InChI=1S/CH3O2/c2-1-3/h2H,1H2",2
34,O2CHO,InChI=1S/CHO3/c2-1-4-3/h1H,2
35,HOCHO,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",1
36,OCHO,InChI=1S/CHO2/c2-1-3/h1H,2
37,C2H6,InChI=1S/C2H6/c1-2/h1-2H3,1
38,C2H5,"InChI=1S/C2H5/c1-2/h1H2,2H3",2
39,C2H5O2H,"InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3",1
40,C2H5O2,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",2
41,C2H4,InChI=1S/C2H4/c1-2/h1-2H2,1
42,C2H3,"InChI=1S/C2H3/c1-2/h1H,2H2",2
43,CHOCHO,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,1
44,C2H3OOH,"InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2",1
45,C2H3OO,"InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2",2
46,CHCHO,"InChI=1S/C2H4O/c1-2-3/h1,3H,2H2",3
47,C2H2,InChI=1S/C2H2/c1-2/h1-2H,1
48,C2H,InChI=1S/C2H/c1-2/h1H,2
49,H2CC,InChI=1S/C2H2/c1-2/h1H2,1
50,C2H5OH,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",1
51,C2H5O,"InChI=1S/C2H5O/c1-2-3/h2H2,1H3",2
52,PC2H4OH,"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2",2
53,SC2H4OH,"InChI=1S/C2H5O/c1-2-3/h2-3H,1H3",2
54,O2C2H4OH,"InChI=1S/C2H5O3/c3-1-2-5-4/h3H,1-2H2",2
55,C2H4O2H,"InChI=1S/C2H5O2/c1-2-4-3/h3H,1-2H2",2
56,C2H4O1-2,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,1
57,C2H3O1-2,"InChI=1S/C2H3O/c1-2-3-1/h1H,2H2",2
58,CH3CHO,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",1
59,CH3CO,InChI=1S/C2H3O/c1-2-3/h1H3,2
60,CH2CHO,"InChI=1S/C2H3O/c1-2-3/h2H,1H2",2
61,O2CH2CHO,"InChI=1S/C2H3O3/c3-1-2-5-4/h1H,2H2",2
